customerID,interactiontimestamp,interactionchannel,interaction type,interactionoutcome,interactionduration,customersentiment,agent
7590-VHVEG,11/14/2022,phone,inquiry,converted,0:15,positive,Isla
5575-GNVDE,12/23/2022,email,complaint,escalated,0:02,negative,Fran
3668-QPYBK,2/13/2022,chat,complaint,closed,0:06,negative,Liz
7795-CFOCW,8/19/2021,twitter,complaint,closed,0:02,negative,Liz
9237-HQITU,3/26/2021,instagram,complaint,pending,0:02,neutral,Anton
9305-CDSKC,4/5/2021,in-person,purchase,closed,0:22,positive,Greg
1452-KIOVK,2/3/2022,phone,support,closed,0:02,neutral,Isla
6713-OKOMC,11/14/2022,email,feedback,closed,0:02,negative,Emily
7892-POOKP,12/23/2022,chat,complaint,escalated,0:02,negative,Violet
6388-TABGU,2/13/2022,twitter,complaint,resolved,0:02,positive,Norma
9763-GRSKD,8/19/2021,instagram,complaint,escalated,0:02,negative,John
7469-LKBCI,3/26/2021,in-person,subscription,closed,0:38,neutral,Raul
8091-TTVAX,4/5/2021,phone,inquiry,converted,0:15,positive,Liz
0280-XJGEX,2/3/2022,email,complaint,escalated,0:02,negative,Sam
5129-JLPIS,1/2/2021,chat,complaint,closed,0:06,negative,Skylar
3655-SNQYZ,1/13/2022,twitter,complaint,closed,0:02,negative,Peyton
8191-XWSZG,11/14/2022,instagram,complaint,pending,0:02,neutral,Skylar
9959-WOFKT,12/23/2022,in-person,purchase,closed,0:22,positive,Javi
4190-MFLUW,2/13/2022,phone,support,closed,0:02,neutral,Fran
4183-MYFRB,8/19/2021,email,feedback,closed,0:02,negative,Liz
8779-QRDMV,3/26/2021,chat,complaint,escalated,0:02,negative,Liz
1680-VDCWW,4/5/2021,twitter,complaint,resolved,0:02,positive,Anton
1066-JKSGK,2/3/2022,instagram,complaint,escalated,0:02,negative,Greg
3638-WEABW,11/14/2022,in-person,subscription,closed,0:38,neutral,Isla
6322-HRPFA,12/23/2022,phone,inquiry,converted,0:15,positive,Emily
6865-JZNKO,2/13/2022,email,complaint,escalated,0:02,negative,Violet
6467-CHFZW,8/19/2021,chat,complaint,closed,0:06,negative,Norma
8665-UTDHZ,3/26/2021,twitter,complaint,closed,0:02,negative,John
5248-YGIJN,4/5/2021,instagram,complaint,pending,0:02,neutral,Raul
8773-HHUOZ,2/3/2022,in-person,purchase,closed,0:22,positive,Liz
3841-NFECX,1/2/2021,phone,support,closed,0:02,neutral,Sam
4929-XIHVW,1/13/2022,email,feedback,closed,0:02,negative,Skylar
6827-IEAUQ,11/14/2022,chat,complaint,escalated,0:02,negative,Peyton
7310-EGVHZ,12/23/2022,twitter,complaint,resolved,0:02,positive,Skylar
3413-BMNZE,2/12/2022,instagram,complaint,escalated,0:02,negative,Javi
6234-RAAPL,8/19/2021,in-person,subscription,closed,0:38,neutral,Fran
6047-YHPVI,3/26/2021,phone,inquiry,converted,0:15,positive,Liz
6572-ADKRS,4/5/2021,email,complaint,escalated,0:02,negative,Liz
