customerID,gender,customersatisfaction
7590-VHVEG,Female,3
5575-GNVDE,Male,5
3668-QPYBK,Male,3
7795-CFOCW,Male,2
9237-HQITU,Female,4
9305-CDSKC,Female,1
1452-KIOVK,Male,5
6713-OKOMC,Female,3
7892-POOKP,Female,2
6388-TABGU,Male,4
9763-GRSKD,Male,1
7469-LKBCI,Male,5
8091-TTVAX,Male,3
0280-XJGEX,Male,2
5129-JLPIS,Male,4
3655-SNQYZ,Female,1
8191-XWSZG,Female,5
9959-WOFKT,Male,3
4190-MFLUW,Female,2
4183-MYFRB,Female,4
8779-QRDMV,Male,1
1680-VDCWW,Male,5
1066-JKSGK,Male,3
3638-WEABW,Female,2
6322-HRPFA,Male,4
6865-JZNKO,Female,1
6467-CHFZW,Male,5
8665-UTDHZ,Male,3
5248-YGIJN,Male,2
8773-HHUOZ,Female,4
3841-NFECX,Female,1
4929-XIHVW,Male,5
6827-IEAUQ,Female,3
7310-EGVHZ,Male,2
3413-BMNZE,Male,4
6234-RAAPL,Female,1
6047-YHPVI,Male,5
6572-ADKRS,Female,3
5380-WJKOV,Male,2
8168-UQWWF,Female,4
8865-TNMNX,Male,2
9489-DEDVP,Female,4
9867-JCZSP,Female,1
4671-VJLCL,Female,5
4080-IIARD,Female,3
3714-NTNFO,Female,2
5948-UJZLF,Male,4
7760-OYPDY,Female,1
7639-LIAYI,Male,5
2954-PIBKO,Female,3
8012-SOUDQ,Female,2
9420-LOJKX,Female,4
6575-SUVOI,Female,1
7495-OOKFY,Female,5
4667-QONEA,Female,3
1658-BYGOY,Male,2
8769-KKTPH,Female,4
5067-XJQFU,Male,4
3957-SQXML,Female,1
5954-BDFSG,Female,5
0434-CSFON,Female,3
1215-FIGMP,Male,2
0526-SXDJP,Male,4
0557-ASKVU,Female,2
5698-BQJOH,Female,3
5122-CYFXA,Female,1
8627-ZYGSZ,Male,1
3410-YOQBQ,Female,4
3170-NMYVV,Female,3
7410-OIEDU,Male,1
2273-QCKXA,Male,5
0731-EBJQB,Female,3
1891-QRQSA,Male,2
8028-PNXHQ,Male,4
5630-AHZIL,Female,1
2673-CXQEU,Female,5
6416-JNVRK,Female,3
5590-ZSKRV,Female,2
0191-ZHSKZ,Male,4
3887-PBQAO,Female,1
5919-TMRGD,Female,5
8108-UXRQN,Female,3
9191-MYQKX,Female,2
9919-YLNNG,Female,4
0318-ZOPWS,Female,1
4445-ZJNMU,Male,5
4808-YNLEU,Female,3
1862-QRWPE,Female,2
2796-NNUFI,Female,4
3016-KSVCP,Male,1
4767-HZZHQ,Male,5
2424-WVHPL,Male,3
7233-PAHHL,Male,2
6067-NGCEU,Female,4
9848-JQJTX,Male,1
8637-XJIVR,Female,5
9803-FTJCG,Male,3
0278-YXOOG,Male,2
3212-KXOCR,Male,4
4598-XLKNJ,Female,1
6380-ARCEH,Male,5
3679-XASPY,Female,3
7123-WQUHX,Male,2
5386-THSLQ,Female,4
3192-NQECA,Male,1
6180-YBIQI,Male,5
6728-DKUCO,Female,3
9750-BOOHV,Female,2
8597-CWYHH,Male,4
2848-YXSMW,Male,2
0486-HECZI,Male,4
4549-ZDQYY,Female,1
5712-AHQNN,Female,5
4846-WHAFZ,Female,3
5256-SKJGO,Female,2
3071-VBYPO,Male,4
9560-BBZXK,Female,1
5299-RULOA,Female,5
8402-OOOHJ,Female,3
9445-ZUEQE,Male,2
1091-SOZGA,Female,4
2928-HLDBA,Female,1
0404-SWRVG,Male,5
6497-TILVL,Female,3
7219-TLZHO,Female,2
4622-YNKIJ,Male,4
4412-YLTKF,Female,4
6734-PSBAW,Male,1
3930-ZGWVE,Male,5
2639-UGMAZ,Male,3
2876-GZYZC,Female,2
6207-WIOLX,Female,4
8587-XYZSF,Male,2
3091-FYHKI,Male,3
2372-HWUHI,Male,1
7799-LGRDP,Female,1
7850-VWJUU,Female,4
3774-VBNXY,Female,3
6217-KDYWC,Male,1
0390-DCFDQ,Female,5
3146-MSEGF,Female,3
4080-OGPJL,Female,2
1095-WGNGG,Female,4
2636-SJDOU,Male,1
1131-QQZEB,Male,5
5716-EZXZN,Female,3
6837-BJYDQ,Male,2
2135-RXIHG,Male,4
6440-DKQGE,Male,1
3466-BYAVD,Male,5
3780-YVMFA,Female,3
3874-EQOEP,Male,2
1679-JRFBR,Female,4
9073-ZZIAY,Male,1
3077-RSNTJ,Female,5
6551-GNYDG,Female,3
9167-APMXZ,Female,2
2749-CTKAJ,Male,4
6371-NZYEG,Male,1
7554-NEWDD,Male,5
8992-VONJD,Female,3
0867-MKZVY,Female,2
4482-EWFMI,Female,4
4648-YPBTM,Male,1
2907-ILJBN,Female,5
6345-FZOQH,Male,3
3376-BMGFE,Female,2
5997-OPVFA,Male,4
3445-HXXGF,Male,1
1159-WFSGR,Female,5
7654-YWJUF,Male,3
1875-QIVME,Female,2
6727-IOTLZ,Male,4
0691-JVSYA,Female,1
5918-VUKWP,Female,5
1744-JHKYS,Female,3
2656-FMOKZ,Female,2
2070-FNEXE,Female,4
5947-SGKCL,Female,2
3712-PKXZA,Male,4
6317-YPKDH,Female,1
6582-OIVSP,Female,5
9367-WXLCH,Male,3
5524-KHNJP,Male,2
1918-ZBFQJ,Female,4
1024-GUALD,Female,1
4827-USJHP,Male,5
8167-GJLRN,Male,3
0956-SYCWG,Female,2
8017-UVSZU,Female,4
7100-FQPRV,Male,1
2472-OVKUP,Male,5
2984-RGEYA,Female,3
9680-NIAUV,Female,2
2146-EGVDT,Male,4
2604-IJPDU,Female,4
9178-JHUVJ,Male,1
6168-YBYNP,Male,5
7255-SSFBC,Male,3
3645-DEYGF,Male,2
9323-HGFWY,Female,4
8544-GOQSH,Female,2
3363-DTIVD,Male,3
7018-WBJNK,Male,1
9142-KZXOP,Male,1
7674-YTAFD,Female,4
6348-SNFUS,Male,3
1285-OKIPP,Male,1
7825-ECJRF,Female,5
1347-KTTTA,Male,3
7841-TZDMQ,Male,2
4195-NZGTA,Female,4
7157-SMCFK,Male,1
4709-LKHYG,Female,5
2504-DSHIH,Male,3
0699-NDKJM,Female,2
9286-BHDQG,Male,4
0230-WEQUW,Male,1
2040-LDIWQ,Male,5
6496-JDSSB,Female,3
9408-SSNVZ,Female,2
4443-EMBNA,Female,4
6469-MRVET,Male,1
0742-MOABM,Male,5
5961-VUSRV,Female,3
6778-JFCMK,Male,2
6341-JVQGF,Female,4
2232-DMLXU,Female,1
4811-JBUVU,Male,5
0945-TSONX,Female,3
2651-ZCBXV,Male,2
3316-UWXUY,Male,4
8937-RDTHP,Male,1
7083-MIOPC,Female,5
1984-GPTEH,Female,3
1251-KRREG,Male,2
0621-JFHOL,Female,4
9903-LYSAB,Male,1
0094-OIFMO,Female,5
9227-UAQFT,Male,3
7301-ABVAD,Female,2
6614-FHDBO,Male,4
7576-ASEJU,Female,1
9058-HRZSV,Female,5
4522-AKYLR,Female,3
0221-WMXNQ,Male,2
0303-UNCIP,Male,4
9947-OTFQU,Male,2
0322-YINQP,Male,4
0959-WHOKV,Male,1
4075-JFPGR,Female,5
4629-NRXKX,Female,3
9514-JDSKI,Male,2
3282-ZISZV,Male,4
3675-YDUPJ,Male,1
4111-BNXIF,Female,5
7017-VFHAY,Female,3
6655-LHBYW,Male,2
4959-JOSRX,Female,4
5046-NUHWD,Female,1
7273-TEFQD,Male,5
3606-TWKGI,Male,3
7529-ZDFXI,Male,2
7605-BDWDC,Female,4
1950-KSVVJ,Female,4
0123-CRBRT,Female,1
6292-TOSSS,Male,5
3197-ARFOY,Female,3
6323-AYBRX,Male,2
7014-ZZXAW,Female,4
4385-GZQXV,Female,2
7633-MVPUY,Male,3
6366-ZGQGL,Male,1
4716-HHKQH,Male,1
5940-AHUHD,Male,4
6432-TWQLB,Male,3
4484-GLZOU,Female,1
3179-GBRWV,Male,5
8645-KWHJO,Male,3
4130-MZLCC,Female,2
0314-TKOSI,Female,4
8229-MYEJZ,Female,1
2080-SRCDE,Female,5
9577-WJVCQ,Female,3
9512-UIBFX,Male,2
6202-DYYFX,Female,4
